reward,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
-1343.267452,-1403.406515,-1341.111581,-1370.955007,-1903.478906,-2280.406928,-1496.661233,-1337.225953,-2061.576795,-1445.035424,-1690.889343
-1292.812922,-1654.516016,-2005.684772,-1345.444913,-1324.980945,-1721.108074,-1307.125618,-1292.424979,-1711.226433,-1467.564236,-1508.431212
-1271.348605,-1725.681479,-2142.110415,-1317.70119,-1551.259329,-1333.424434,-1457.743583,-1395.86722,-2137.005151,-1450.657937,-1516.758192
-1649.698511,-1594.939603,-1500.82319,-1407.6894,-1439.488303,-1690.501885,-1340.893782,-1772.419563,-1142.090139,-1210.048228,-1956.469559
-1461.553353,-1756.653129,-1436.27692,-1296.357469,-1654.876097,-1400.4831,-1437.061529,-1565.252293,-1338.251225,-1682.78111,-1494.867812
-1330.78552,-1496.52041,-1243.260054,-1552.196382,-1627.763236,-1520.469526,-1150.589415,-1311.284842,-1437.986463,-1228.856853,-1421.829243
-1430.427168,-1355.419871,-1291.872723,-1485.371922,-1642.546051,-1444.421443,-1191.438119,-1748.958068,-1255.247281,-1574.635012,-1133.489484
-1856.038118,-1440.283669,-1531.291915,-1180.044965,-1244.806094,-1397.500309,-1311.088481,-1568.179928,-1491.454176,-1558.692205,-1762.897146
-2014.72191,-1568.175528,-1272.858275,-1716.351935,-1891.505239,-1637.561527,-1481.952773,-1701.703085,-1389.994743,-1250.892983,-1783.178176
-1274.820037,-1508.676758,-1347.086439,-1524.207036,-1396.165239,-1467.008117,-1225.31938,-2069.038689,-1996.32116,-1328.478786,-1249.055957
-1608.634971,-1732.357072,-1251.968086,-1314.273576,-1821.492975,-1622.504258,-1323.993908,-1822.058825,-1303.892479,-1884.952009,-1218.106083
-1389.860474,-1579.944095,-1695.84234,-1410.304162,-1603.950227,-1336.073103,-1994.230568,-1942.454102,-1335.05626,-1865.113063,-1481.625484
-1516.205066,-1332.554414,-1270.345992,-1638.142553,-1494.644045,-1747.682294,-1342.8033,-1394.490845,-1581.924782,-1452.342997,-1569.382307
-1192.499372,-1487.480363,-1324.582565,-1089.888212,-1423.281617,-1440.623167,-1487.339698,-1331.445645,-1474.177334,-1566.628856,-1286.440765
-1234.774328,-1489.73968,-1396.11817,-1382.924204,-1256.497006,-1345.709239,-1890.915505,-1632.250664,-1387.585782,-1405.534839,-1289.270775
-1623.165325,-1428.597494,-1538.405441,-1773.262709,-1586.97225,-1296.797699,-1664.720003,-1361.372403,-1622.768118,-1948.555362,-1593.471631
-1541.203178,-1386.284937,-1731.805442,-1243.119109,-1529.341384,-1262.514912,-1403.152911,-1241.924299,-1186.913985,-1329.975518,-1500.15619
-1419.0452,-1245.241562,-1524.020184,-1590.43809,-1703.742732,-1523.216722,-1800.540877,-1668.810501,-1493.992861,-1289.567986,-1811.920034
-1357.141714,-1356.181739,-1405.827696,-1427.777918,-1722.19197,-1528.233403,-1264.88644,-1834.54927,-1641.173636,-1332.941597,-1872.28171
-1650.416509,-1758.563163,-1691.184075,-1654.040947,-1550.301852,-1413.073316,-1298.743015,-1592.256684,-1407.289113,-1676.257015,-1409.572633
-1407.84482,-1260.129072,-1528.215795,-1889.216257,-1469.325761,-1636.258284,-1921.905574,-1471.181465,-1733.34284,-1655.157111,-1247.528653
-1071.412626,-1502.103976,-1270.3713,-1184.001256,-1320.603904,-1453.42551,-1470.406167,-1239.890537,-1515.499551,-1372.81127,-1320.09727
-1234.67981,-1602.024745,-1363.088801,-1389.914332,-1716.646485,-1138.076201,-1417.627948,-1301.169846,-1390.224904,-1332.963178,-1259.75109
-1424.052899,-1130.893223,-1407.618973,-1506.795248,-1245.099928,-1446.378912,-1871.735268,-1532.332419,-1331.228938,-1909.57481,-1638.307122
-1595.347268,-1275.204885,-1407.399868,-1356.400075,-1316.945262,-1353.375629,-1610.983383,-1982.355314,-1805.612558,-1445.52712,-1637.897385
-1604.869717,-1303.107232,-1332.207072,-1614.098648,-1213.500623,-1427.246055,-1361.115383,-1370.145122,-1084.108465,-1444.708914,-1728.94721
-2151.141824,-1266.647355,-1689.95499,-1361.09188,-1740.883042,-1917.045213,-1522.307305,-1439.952936,-1278.29844,-1329.522424,-1401.379599
-1511.640432,-1636.220242,-1574.663549,-1220.92986,-1422.450612,-1328.054391,-1307.419114,-1618.811214,-1387.911555,-1661.18379,-1448.659821
-1691.357746,-1685.969413,-2257.356681,-1470.221044,-1497.812643,-1424.309163,-1568.466548,-1457.666175,-1379.268314,-1864.276684,-1399.956976
-1427.672352,-1146.383517,-1653.89828,-1252.888223,-1307.340896,-1584.712087,-1669.146009,-1409.635497,-1517.534181,-2012.87731,-1459.256197
-1962.562921,-1606.714023,-1460.717614,-1643.157263,-1382.660953,-1881.263152,-1709.708663,-1690.379438,-1835.6003,-1872.955749,-1501.069973
